599170,Hawks2017,5557867682,Sarah,Cooney,sc599170@sju.edu,"2331 N 58th Street, Philadelphia, PA  19131"
599171,Pass1234,5558449321,Brian,Ching,bching@gmail.com,"5600 City Ave, Philadelphia, PA 19131"
599172,TrustNo1,5558448764,Brendan,Szefinski,bszefinski@gmail.com,"8320 City Ave, Philadelphia, PA 19131"
599173,DB_Team6,5555702331,Faris,Alqahtani,fa600783@sju.edu,"613 Green Lane, Bryn Mawr, PA 19004"
599174,LibPass1,5559664282,Mingyaun,Li,mli55@yahoo.com,"2520 Hawk Street, Philadelphia, PA 19131"
599175,Snuffles11,5559338777,Harry,Potter,hpotter@yahooo.com,"882 Diagon Alley, Merion Station, PA 19066"
599176,Crooks1980,5559337564,Hermione,Granger,hgranger@yahoo.com,"1926 Oak Avenue, Philadelphia, PA 19022"
599177,MrsHP731,5555701044,Ginny,Weasley,mrshpotter@aol.com,"4545 Maple Street, Philadelphia, PA 19022"
599178,Marycg95,5559663014,Molly,Grab,mary.grab@sju.edu,"2332 N 58th Street, Philadelphia, PA 19131"
599179,India2017,5559660334,Nisha,Orren,norren@gmail.com,"2331 N 58th Street, Philadelphia, PA  19131"
599180,Swagster95,5559323789,Jackie,Boran,swaggyjack123@aol.com,"123 Swaggy Street, Philadelphia, PA 19022"
599181,thwnd2017,5555245290,Maria,Spirk,mspirk12@philly.edu,"2498 Hawk Street, Philadelphia, PA 19131"
599182,Jozzy18,5553748051,Julie,Osborne,jayoz@gmail.com,"196 Lincoln Way, Philadelphia, PA 19131"
599183,Math2017,5553743755,Maria,Macauly,mmac@stolaf.edu,"885 Lincoln Way, Philadelphia, PA 19131"
599184,coops823,5559663200,Catherine,Cooper,ccoop@trinity.edu,"2247 S 63rd Street, Philadelphia, PA 19577"
599185,trapper21,5558444444,Andrew,Cooney,adcooney@gmail.com,"4375 N 47th Street, Philadelphia, PA 19577"
599186,miffFH17,5555709661,Samantha,Orren,sorren@gmail.com,"4399 N 47th Street, Philadelphia, PA 19577"
599187,pi_31459,5559668298,Paul,Klingsberg,pklingsb@sju.edu,"333 Cantor Avenue, Merion Station, PA 19066"
599188,BUbison89,5557133689,Marcia,Cooney,mcooney@bucknell.edu,"407 Green Street, Mifflinburg, PA 19844"
599189,nargles22,5557134455,Luna,Lovegood,loony@hotmail.com,"628 Diagon Alley, Merion Station, PA 19066"
